Codice.comune,Comune,Popolazione.censita.al.1..gennaio,Nati.vivi,Morti,Saldo.naturale,Immigrati.da.altro.comune,Emigrati.per.altro.comune,Saldo.migratorio.interno,Immigrati.dall.estero,Emigrati.per.l.estero,Saldo.migratorio.con.l.estero,Unità.in.più.meno.dovute.a.variazioni.territoriali,Aggiustamento.statistico,Saldo.totale,Popolazione.censita.al.31.dicembre,Numero.di.famiglie.al.31.dicembre,Popolazione.censita.al.31.dicembre.residente.in.famiglia,Numero.medio.di.componenti.per.famiglia.al.31.dicembre,Numero.di.convivenze.al.31.dicembre,Popolazione.censita.al.31.dicembre.residente.in.convivenza,year
7024,Doues,512,0,13,-13,15,8,7,0,2,-2,0,-7,-15,497,256,488,1.9,1,9,2020
7025,Emarèse,223,1,5,-4,8,10,-2,0,0,0,0,3,-3,220,104,213,2,1,7,2020
7026,Etroubles,481,1,8,-7,18,7,11,3,0,3,0,-5,2,483,240,483,2,0,0,2020
7027,Fénis,1769,18,26,-8,76,62,14,4,9,-5,0,8,9,1778,846,1774,2.1,1,4,2020
7028,Fontainemore,431,4,3,1,14,18,-4,6,1,5,0,0,2,433,223,433,1.9,0,0,2020
7029,Gaby,460,4,7,-3,12,15,-3,2,4,-2,0,-15,-23,437,248,433,1.8,1,4,2020
7030,Gignod,1715,12,20,-8,65,56,9,8,4,4,0,19,24,1739,806,1727,2.1,3,12,2020
7031,Gressan,3393,21,33,-12,138,123,15,8,8,0,0,-16,-13,3380,1603,3371,2.1,1,9,2020
7032,Gressoney-La-Trinité,318,4,3,1,16,9,7,0,1,-1,0,-3,4,322,150,322,2.2,0,0,2020
7033,Gressoney-Saint-Jean,812,6,9,-3,31,16,15,1,1,0,0,-20,-8,804,395,797,2,2,7,2020
7034,Hône,1189,10,23,-13,28,24,4,1,6,-5,0,-21,-35,1154,570,1144,2,2,10,2020
7035,Introd,661,3,8,-5,16,16,0,1,1,0,0,-10,-15,646,303,639,2.1,1,7,2020
7036,Issime,407,3,8,-5,11,16,-5,3,5,-2,0,-2,-14,393,216,393,1.8,0,0,2020
7037,Issogne,1349,7,20,-13,30,31,-1,0,2,-2,0,14,-2,1347,675,1347,2,0,0,2020
7038,Jovençan,723,4,12,-8,36,24,12,2,2,0,0,-15,-11,712,335,712,2.1,0,0,2020
7039,La Magdeleine,109,1,3,-2,5,2,3,0,0,0,0,-2,-1,108,64,108,1.7,0,0,2020
7040,La Salle,2001,14,19,-5,83,81,2,11,16,-5,0,14,6,2007,1010,2004,2,1,3,2020
7041,La Thuile,812,10,10,0,37,17,20,4,4,0,0,-13,7,819,427,813,1.9,3,6,2020
7042,Lillianes,445,2,5,-3,16,8,8,0,0,0,0,-4,1,446,226,446,2,0,0,2020
7043,Montjovet,1802,6,23,-17,50,41,9,3,3,0,0,-45,-53,1749,823,1746,2.1,1,3,2020
7044,Morgex,2096,16,30,-14,81,69,12,8,22,-14,0,17,1,2097,992,2094,2.1,2,3,2020
