comune_key,date,assigned_model,beta_mixed,beta_gamm,beta_prophet,model_beta
champdepraz,2025-02-01,Mixed,0.037365223114740456,0.08950925792345,NA,0.037365223114740456
champdepraz,2025-03-01,Mixed,0.037365223114740456,0.09144439160219252,NA,0.037365223114740456
champdepraz,2025-04-01,Mixed,0.037365223114740456,0.08986182162450891,NA,0.037365223114740456
champdepraz,2025-05-01,Mixed,0.037365223114740456,0.053156340313032915,NA,0.037365223114740456
champdepraz,2025-06-01,Mixed,0.037365223114740456,0.10284679681876166,NA,0.037365223114740456
champdepraz,2025-07-01,Mixed,0.037365223114740456,0.10921933043800766,NA,0.037365223114740456
champdepraz,2025-08-01,Mixed,0.037365223114740456,0.11781285964741889,NA,0.037365223114740456
champdepraz,2025-09-01,Mixed,0.037365223114740456,0.11031297516335811,NA,0.037365223114740456
champorcher,2025-01-01,Prophet,0.07365422718957405,0.11558218546552837,0.02542416628082835,0.02542416628082835
champorcher,2025-02-01,Prophet,0.07365422718957405,0.11886848684751718,0.02542963493060087,0.02542963493060087
champorcher,2025-03-01,Prophet,0.07365422718957405,0.11211928964335256,0.025417815854679563,0.025417815854679563
champorcher,2025-04-01,Prophet,0.07365422718957405,0.07603058062878808,0.025190297464928124,0.025190297464928124
champorcher,2025-05-01,Prophet,0.07365422718957405,0.08198049203532186,0.02527537805767985,0.02527537805767985
champorcher,2025-06-01,Prophet,0.07365422718957405,0.13706203252095536,0.025452752688964405,0.025452752688964405
champorcher,2025-07-01,Prophet,0.07365422718957405,0.16763653975254633,0.02548009358627908,0.02548009358627908
champorcher,2025-08-01,Prophet,0.07365422718957405,0.16231790137947885,0.02547516957769131,0.02547516957769131
champorcher,2025-09-01,Prophet,0.07365422718957405,0.11345854123202898,0.02542044606852512,0.02542044606852512
charvensod,2025-01-01,Mixed,0.06050116020222446,0.16526655623069836,NA,0.06050116020222446
charvensod,2025-02-01,Mixed,0.06050116020222446,0.16433124134786922,NA,0.06050116020222446
charvensod,2025-03-01,Mixed,0.06050116020222446,0.16135865775585156,NA,0.06050116020222446
