"comune_key","n_obs","n_tourism_upper_90","n_energy_upper_90","n_joint_upper_90","share_joint_upper_90","p_energy_given_tourism_upper_90","lift_upper_90","mean_joint_severity_90","kendall_tau","n_tourism_upper_95","n_energy_upper_95","n_joint_upper_95","share_joint_upper_95","p_energy_given_tourism_upper_95","lift_upper_95","mean_joint_severity_95","risk_score","comune_nome","istat_muni_code","mean_arrivi","mean_residenti","mean_kwh","arrivi_per_residente","tourism_intensity_rank","risk_rank"
"montjovet",81,4,1,0,0,0,0,NA,-0.0185185185185185,0,1,0,0,NA,NA,NA,0,"Montjovet","7043",416.924731182796,1769.90322580645,189654.365591398,0.235563574947904,49,45
"sarre",81,0,1,0,0,NA,NA,NA,-0.0209876543209877,0,0,0,0,NA,NA,NA,0,"Sarre","7066",1563.06451612903,4818.90322580645,480103.64516129,0.324361051236394,41,46
"perloz",81,0,3,0,0,NA,NA,NA,-0.032716049382716,0,0,0,0,NA,NA,NA,0,"Perloz","7048",48.6559139784946,462.096774193548,74307.7204301075,0.105293775450844,61,47
"emarese",81,0,2,0,0,NA,NA,NA,-0.041358024691358,0,1,0,0,NA,NA,NA,0,"Emarèse","7025",33.7849462365591,223.193548387097,28852.3548387097,0.151370621958857,55,48
"la salle",81,3,2,0,0,0,0,NA,-0.0419753086419753,0,0,0,0,NA,NA,NA,0,"La Salle","7040",1531.32258064516,2016.83870967742,385351.043010753,0.759268737404434,27,49
"oyace",81,0,4,0,0,NA,NA,NA,-0.0462962962962963,0,2,0,0,NA,NA,NA,0,"Oyace","7047",8.20430107526882,210.41935483871,27328.311827957,0.0389902396647759,71,50
"chambave",81,0,3,0,0,NA,NA,NA,-0.0475308641975309,0,0,0,0,NA,NA,NA,0,"Chambave","7015",86.6559139784946,905.322580645161,128450.698924731,0.0957182730565948,63,51
"aymavilles",81,0,0,0,0,NA,NA,NA,-0.0493827160493827,0,0,0,0,NA,NA,NA,0,"Aymavilles","7008",362.043010752688,2087.67741935484,254972.634408602,0.173419038495215,54,52
"donnas",81,0,4,0,0,NA,NA,NA,-0.0518518518518518,0,0,0,0,NA,NA,NA,0,"Donnas","7023",186.172043010753,2449.32258064516,261268.344086022,0.0760096054647544,65,53
"arnad",81,0,12,0,0,NA,NA,NA,-0.0537037037037037,0,10,0,0,NA,NA,NA,0,"Arnad","7004",251.41935483871,1243.48387096774,264537.774193548,0.202189478053336,52,54
