rep,date,arrivals,comune_key,comune_nome,share,arrivals_comune,totale_arrivi,tourism_multiplier
20,2025-06-01,127106.002204705,gignod,Gignod,0.0053951682990815,685.758273717811,752,0.9119125980290039
20,2025-06-01,127106.002204705,gressan,Gressan,0.0101065340495869,1284.60113918872,1485,0.8650512721809562
20,2025-06-01,127106.002204705,gressoney la trinite,Gressoney-La-Trinité,0.065204979186556,8287.94422824416,8759,0.9462203708464619
20,2025-06-01,127106.002204705,gressoney saint jean,Gressoney-Saint-Jean,0.0225076149410791,2860.85295432346,3236,0.8840707522631212
20,2025-06-01,127106.002204705,hone,Hône,7.0051788903455e-4,89.0400283480619,99,0.899394225737999
20,2025-06-01,127106.002204705,introd,Introd,0.00470232986981384,597.69435079981,658,0.9083500772033586
20,2025-06-01,127106.002204705,issime,Issime,6.3751403183425e-4,81.0318599358558,94,0.8620410631474021
20,2025-06-01,127106.002204705,issogne,Issogne,4.6177051743626e-4,58.6938044073224,66,0.8893000667776122
20,2025-06-01,127106.002204705,jovencan,Jovençan,0.00332370133137516,422.462388753553,497,0.8500249270695232
20,2025-06-01,127106.002204705,la salle,La Salle,0.0159626084633347,2028.94334653347,2320,0.8745445459195992
20,2025-06-01,127106.002204705,lillianes,Lillianes,0.00182399841998767,231.841147192331,243,0.9540787950301687
20,2025-06-01,127106.002204705,montjovet,Montjovet,0.00311664969571277,396.144883094562,467,0.8482759809305396
20,2025-06-01,127106.002204705,morgex,Morgex,0.00919340947506993,1168.537525007,1309,0.8926948242987014
20,2025-06-01,127106.002204705,nus,Nus,0.00789396142128639,1003.36987781789,1144,0.8770715715191346
20,2025-06-01,127106.002204705,ollomont,Ollomont,4.1205668363671e-4,52.3748777387923,51,1.026958387035143
20,2025-06-01,127106.002204705,oyace,Oyace,6.6167896215236e-5,8.4103367622145,10,0.8410336762214501
20,2025-06-01,127106.002204705,perloz,Perloz,5.3802293905106e-4,68.3859448772068,77,0.888129154249439
20,2025-06-01,127106.002204705,pollein,Pollein,0.0245568773131181,3121.32650190187,3644,0.8565659994242234
20,2025-06-01,127106.002204705,pontboset,Pontboset,0.001722163786434,218.897354035344,236,0.9275311611667119
20,2025-06-01,127106.002204705,pontey,Pontey,5.4173451109585e-4,68.8577079617146,79,0.8716165564774
20,2025-06-01,127106.002204705,pre saint didier,Pré-Saint-Didier,0.0268274297564926,3409.92734577532,3995,0.8535487724093417
20,2025-06-01,127106.002204705,quart,Quart,0.00508376552528604,646.177112065213,747,0.8650296011582503
20,2025-06-01,127106.002204705,rhemes saint georges,Rhêmes-Saint-Georges,0.00472854555864317,601.026522201948,586,1.0256425293548599
