rep,date,comune_key,assigned_model,model_beta,arrivals_comune,tourism_multiplier,baseline_kwh,scenario_kwh,delta_kwh_vs_baseline,delta_pct_vs_baseline
1,2025-02-01,fontainemore,Prophet,-1.1817050517771914e-4,72.5900009016516,0.9427272844370338,56649.65031029892,56650.04513074386,0.3948204449407058,6.969512482024598e-4
1,2025-02-01,gignod,GAMM,0.11753030257879483,561.881854956765,0.9944811592155133,60956.32300246355,60916.6882257333,-39.63477673025045,-0.06502160034923543
1,2025-02-01,gressan,GAMM,0.16709167202018294,8237.06702321452,1.05806898178735,1606924.6488371894,1622152.1813315898,15227.532494400395,0.9476195729164694
1,2025-02-01,gressoney la trinite,Mixed,0.07025409890557269,4025.2769001752,1.0347755527442672,857016.7885203309,859077.4773616269,2060.6888412960107,0.24044906341378347
1,2025-02-01,gressoney saint jean,Prophet,-0.004338560168923391,4573.13224807085,1.0740094523416746,410198.7138649179,410071.6671175744,-127.04674734349828,-0.03097200041083381
1,2025-02-01,hone,Mixed,0.050964407799988724,69.4980817692238,1.0072185763655623,171701.90507261027,171764.85720612592,62.95213351564598,0.03666361971290666
1,2025-02-01,introd,Mixed,0.0519571248185142,548.213057575858,1.040252481168611,106802.83804690903,107022.05206078506,219.21401387602964,0.20525111306475274
1,2025-02-01,issime,Mixed,0.057826098218061374,123.838467838275,1.0768562420719565,66530.54542321968,66816.02572938357,285.4803061638959,0.42909659668033395
1,2025-02-01,issogne,Mixed,0.06355510585164768,35.6251406246904,0.9895872395747334,175358.2120181958,175241.5931142133,-116.61890398251126,-0.06650324649204453
1,2025-02-01,jovencan,Mixed,0.05835190256401172,688.930273197012,1.051801943812232,121523.89550529011,121882.56110174357,358.6655964534584,0.2951399763496232
1,2025-02-01,la salle,GAMM,0.17027843244415458,2735.16248675912,1.0552324408792901,454173.370315766,458350.1208607238,4176.750544957758,0.9196379219798434
1,2025-02-01,lillianes,Mixed,0.041959400273086124,62.1339637421312,0.9559071344943262,43547.199768407176,43464.88033491414,-82.31943349303765,-0.1890349642016731
1,2025-02-01,montjovet,Mixed,0.05873874471177509,479.624100034626,1.06583133341028,197770.40314878963,198512.4208508543,742.0177020646806,0.375191479741499
1,2025-02-01,morgex,Mixed,0.08056185213343428,1470.06474875837,1.0359864332335236,1103846.078055509,1106994.5203391796,3148.442283670651,0.28522475608345754
1,2025-02-01,nus,Mixed,0.05968538892729626,1485.7289529038,1.0218218383107291,305401.3345109757,305795.0786299786,393.74411900289124,0.12892678404086144
1,2025-02-01,ollomont,Mixed,0.06669248119874707,14.4651151434164,1.0332225102440284,42522.86990474568,42615.65730918367,92.78740443798597,0.21820588461183288
1,2025-02-01,oyace,Prophet,-3.7944960805327333e-4,7.40651435550388,1.0580734793576971,25913.56081611536,25913.00575753305,-0.555058582311176,-0.0021419618332241264
1,2025-02-01,perloz,GAMM,0.05526522511195293,53.0878770617014,0.9831088344759519,81632.50072879136,81555.6825175615,-76.8182112298673,-0.09410248435862689
1,2025-02-01,pollein,GAMM,0.1805129416445984,2719.27447364141,1.0355196015389985,429438.47732685035,432152.6972342048,2714.219907354447,0.6320392909945571
1,2025-02-01,pontboset,GAMM,0.07820276277887549,116.887706231844,0.9660141010896199,22265.93782982616,22205.811949563937,-60.12588026222511,-0.27003524720923266
1,2025-02-01,pontey,Prophet,-0.00461955933164298,89.358649541462,1.0390540644356046,116751.61047863904,116730.94975129966,-20.660727339374716,-0.01769631035895003
1,2025-02-01,pre saint didier,Prophet,0.1333812973345539,7427.60589542057,1.0753736637354234,318121.8914796795,321220.3043283273,3098.4128486478003,0.9739703338981665
1,2025-02-01,quart,Mixed,0.07019586193606624,786.21956439257394,1.0638965688668118,741756.2439764357,744988.2755353268,3232.03155889106,0.43572690963336047
1,2025-02-01,rhemes saint georges,Prophet,0.005417075030437626,194.63355140761,0.9981207764492821,52968.60272366453,52968.06300431344,-0.5397193510943907,-0.0010189420210138245
1,2025-02-01,roisan,Mixed,0.03815968341454543,130.670526756087,0.9899282330006592,133121.2457107529,133069.8330336206,-51.41267713229172,-0.038620940525146974
1,2025-02-01,saint christophe,GAMM,0.14653572106074655,839.903126291964,1.0381991672335773,312824.00580601953,314547.16381222213,1723.1580062026042,0.5508394414177831
1,2025-02-01,saint marcel,GAMM,0.0557872967932886,103.955193006459,0.9900494572043714,345765.23072832567,345572.3841155681,-192.84661275759572,-0.05577385914464772
1,2025-02-01,saint nicolas,Prophet,0.0183313886513304,573.120434251569,1.0613341375029055,59054.19319853034,59118.668763615635,64.4755650852967,0.10918033350915124
1,2025-02-01,saint oyen,Mixed,0.0652641245630013,212.424468329923,1.062122341649615,35713.72679147919,35854.48019845921,140.753406980024,0.3941157073912738
1,2025-02-01,saint pierre,GAMM,0.14158377601717367,844.838302547016,1.046887611582424,434733.0879888483,437562.62773291266,2829.5397440643865,0.6508682734857718
1,2025-02-01,saint rhemy en bosses,GAMM,0.11589623594295152,560.312540019631,1.0632116508911404,246710.88244741285,248469.69841975512,1758.8159723422723,0.7129057116956217
