comune_key,date,arrivals_actual,arrivals_q95,arrivals_multiplier_q95
challand saint anselme,2025-04-01,262.99999999999994,400.43707485362,1.522574429101217
challand saint anselme,2025-05-01,385.00000000000006,538.234204820176,1.3980109216108467
challand saint anselme,2025-06-01,697.9999999999999,882.809481280752,1.2647700304881837
challand saint anselme,2025-07-01,862.9999999999997,1413.79684419198,1.6382350454136507
challand saint anselme,2025-08-01,853.9999999999998,1518.81658030554,1.7784737474303751
challand saint anselme,2025-09-01,469.00000000000006,1154.17635460053,2.4609303936045412
challand saint victor,2025-01-01,33.99999999999999,44.0494019054719,1.2955706442785857
challand saint victor,2025-02-01,61.99999999999999,91.9761324423676,1.4834860071349614
challand saint victor,2025-03-01,45,66.3946763852313,1.47543725300514
challand saint victor,2025-04-01,14.999999999999998,25.6622205825851,1.7108147055056735
challand saint victor,2025-05-01,26,35.6927226397291,1.3727970246049652
challand saint victor,2025-06-01,26.999999999999996,31.4622195143693,1.1652673894210852
challand saint victor,2025-07-01,61.99999999999999,95.7551717768604,1.5444382544654904
challand saint victor,2025-08-01,64.99999999999997,117.194568041862,1.8029933544901853
challand saint victor,2025-09-01,5,11.3948139253169,2.27896278506338
chambave,2025-01-01,128.99999999999997,172.014410292326,1.3334450410257832
chambave,2025-02-01,132.99999999999997,220.485697998753,1.6577872029981433
chambave,2025-03-01,148,219.83191445577,1.4853507733497973
chambave,2025-04-01,112.00000000000003,170.029285009398,1.5181186161553388
chambave,2025-05-01,132.99999999999997,183.817145349805,1.3820837996225943
chambave,2025-06-01,123.00000000000003,147.390314824336,1.198295242474276
chambave,2025-07-01,224,345.65344813321,1.5430957505946876
chambave,2025-08-01,233.00000000000006,394.740513347932,1.6941652933387634
chambave,2025-09-01,99.00000000000004,236.191774181962,2.385775496787494
chamois,2025-01-01,473.00000000000017,594.802474518344,1.257510516952101
chamois,2025-02-01,623.0000000000001,1121.3775555308,1.7999639735646866
chamois,2025-03-01,448.0000000000001,647.150982262871,1.444533442551051
chamois,2025-04-01,3.999999999999999,5.04684999953206,1.2617124998830151
