comune_key,performance_metric,Prophet,GAMM,Mixed
issime,Bias_kwh,6329.36918116188,-3343.49774631244,-2548.16514328329
issime,MAPE_pct,13.3943884507049,11.8466284645173,11.4117334155654
issime,delta_from_best_RMSE,2367.72776127684,0,115.114617586851
issime,underperform_flag,high_gap,ok,ok
issogne,n_obs,9,9,9
issogne,MAE_kwh,15834.193415246,15792.8443915556,15978.5378218072
issogne,RMSE_kwh,23890.2335276902,18419.4966449555,17267.9350542337
issogne,Bias_kwh,7232.60023158218,-7758.94037497007,-10391.0810283156
issogne,MAPE_pct,9.25388635834534,8.54781426548606,8.46738501381508
issogne,delta_from_best_RMSE,6622.29847345651,1151.56159072179,0
issogne,underperform_flag,high_gap,ok,ok
jovencan,n_obs,9,9,9
jovencan,MAE_kwh,8580.78922284002,7433.88791635692,7985.90814264169
jovencan,RMSE_kwh,13284.7247973993,10508.9022740396,11304.0194768982
jovencan,Bias_kwh,5253.03145566614,2483.33204618338,-873.057447046708
jovencan,MAPE_pct,10.0618381114252,8.39987212749335,8.34094774977569
jovencan,delta_from_best_RMSE,2775.8225233597,0,795.117202858622
jovencan,underperform_flag,high_gap,ok,ok
la magdeleine,n_obs,9,9,9
la magdeleine,MAE_kwh,4329.0615694889,3938.93045344887,4019.24627931968
la magdeleine,RMSE_kwh,5319.66450157161,5054.84748368199,5331.52769518697
la magdeleine,Bias_kwh,1465.2126085991,3127.32143768277,2445.31077810523
la magdeleine,MAPE_pct,31.1002591147276,31.6777563140065,33.0436696582308
la magdeleine,delta_from_best_RMSE,264.817017889629,0,276.680211504982
la magdeleine,underperform_flag,ok,ok,high_gap
la salle,n_obs,9,9,9
la salle,MAE_kwh,31421.0606579659,30349.3161998256,47141.8784089558
la salle,RMSE_kwh,44284.2591973548,39104.3076108329,52015.5132882941
la salle,Bias_kwh,-7042.36620761711,-4727.23335950679,-28886.1361108771
la salle,MAPE_pct,8.64762561908558,8.3316371109143,11.5920298815506
la salle,delta_from_best_RMSE,5179.9515865219,0,12911.2056774612
la salle,underperform_flag,ok,ok,high_gap
la thuile,n_obs,9,9,9
la thuile,MAE_kwh,162775.168410004,147359.599159964,153103.801841603
la thuile,RMSE_kwh,209563.262727102,185653.079235739,210546.632986407
la thuile,Bias_kwh,-114323.455902062,69604.0721988677,48435.0300162993
la thuile,MAPE_pct,20.9684217122308,23.237070302231,22.3404491114009
la thuile,delta_from_best_RMSE,23910.1834913625,0,24893.5537506681
la thuile,underperform_flag,ok,ok,high_gap
lillianes,n_obs,9,9,9
lillianes,MAE_kwh,7051.30085668051,6833.8938272813,6335.13438481886
lillianes,RMSE_kwh,9685.86634239019,7565.25219468571,7103.79047688375
lillianes,Bias_kwh,7051.30085668051,-4660.56182516416,-3861.50050228889
lillianes,MAPE_pct,19.6365921929439,15.6132983158327,14.773439465454
lillianes,delta_from_best_RMSE,2582.07586550644,461.461717801961,0
lillianes,underperform_flag,high_gap,ok,ok
montjovet,n_obs,9,9,9
montjovet,MAE_kwh,29173.4460726706,13817.5137218253,14916.6104849846
montjovet,RMSE_kwh,36793.0190908564,23303.7369228239,21604.6309307243
montjovet,Bias_kwh,29173.4460726706,10726.7974041039,-2110.35016221634
montjovet,MAPE_pct,17.9607087688481,9.40961070336092,9.20058340452793
montjovet,delta_from_best_RMSE,15188.3881601321,1699.10599209961,0
montjovet,underperform_flag,high_gap,ok,ok
morgex,n_obs,9,9,9
morgex,MAE_kwh,199392.719654744,134313.865370369,111945.052469541
morgex,RMSE_kwh,213412.494710799,170723.105950446,137753.30651562
morgex,Bias_kwh,199392.719654744,117200.182166142,96899.2227487099
morgex,MAPE_pct,20.9527270017068,14.437890194649,12.0148314779154
