comune_key,Consumo_Base_MWh,Mixed_Mediano_q50_MWh,Mixed_Picco_q95_MWh,GAMM_Mediano_q50_MWh,GAMM_Picco_q95_MWh,Prophet_Mediano_q50_MWh,Prophet_Picco_q95_MWh,Delta_Mixed_Picco_MWh,Delta_GAMM_Picco_MWh,Delta_Prophet_Picco_MWh
rhemes notre dame,699.989,756.2225249781096,818.3379717846127,788.6931694074729,817.8768155917935,506.42477255424814,588.027294907945,118.34897178461267,117.88781559179347,-111.96170509205501
rhemes saint georges,504.1909999999999,534.5453723521371,537.3206206246895,564.968917752058,580.0969138347572,495.10800787956407,496.30534883691803,33.12962062468955,75.90591383475726,-7.885651163081889
roisan,983.246,998.3605238556662,1006.0896724608729,1071.1310078782897,1090.3474759981818,1056.1791723580886,1061.4016676158806,22.84367246087288,107.10147599818185,78.15566761588059
saint christophe,2927.7479999999996,2616.6763056449686,2676.446599679735,2825.4884976299018,2997.0649059887705,2954.4343474705793,2918.3091244348093,-251.30140032026475,69.31690598877094,-9.438875565190301
saint denis,319.83099999999996,472.43907252656425,486.27009662895034,497.9115614986762,501.13566326152886,434.68512389279783,419.766683413374,166.43909662895038,181.3046632615289,99.93568341337402
saint marcel,2904.715,2707.9950061011896,2693.9016001962077,2793.174467230049,2800.4199296634474,2643.0148461517,2631.3113589450927,-210.81339980379244,-104.29507033655273,-273.40364105490744
saint nicolas,563.208,566.4879968439607,571.6354082765141,593.3977793731788,610.5102109337474,556.5930377985401,561.1889125072721,8.427408276514143,47.30221093374746,-2.019087492727863
saint oyen,349.21000000000004,341.5431614957609,346.7638015392477,364.8609718036999,381.6525283542379,378.12165252717205,385.03591685924476,-2.4461984607523277,32.44252835423788,35.82591685924473
saint pierre,3571.2050000000004,3494.4079903805946,3524.7340551153825,3661.579434781186,3774.4506703854836,3582.682600407123,3712.6563067609527,-46.47094488461789,203.2456703854832,141.45130676095232
saint rhemy en bosses,1739.1770000000001,1612.4966200660112,1624.172993305272,1775.3763094604537,1822.396745356548,1916.1141115330843,1869.5987187803858,-115.0040066947281,83.21974535654795,130.42171878038562
saint vincent,12291.660000000002,12280.783652736307,12732.94720659704,13448.714780908895,13877.599637341587,13634.558310973634,13728.93878999711,441.2872065970387,1585.9396373415857,1437.278789997108
sarre,4258.04,4387.780418838642,4411.099516472098,4664.207277869345,4816.33603442864,4351.174387057309,4314.110656778654,153.05951647209804,558.2960344286403,56.070656778653756
