comune_key,comune_nome,Consumo_Base_MWh,Consumo_Mediano_q50_MWh,Consumo_Picco_q95_MWh,Delta_Picco_Assoluto_MWh,Variazione_Percentuale_Picco
pollein,Pollein,3859.672,3537.418773448546,3653.4721438820866,-206.19985611791344,-5.342419151625149
saint rhemy en bosses,Saint-Rhémy-en-Bosses,1739.1770000000001,1623.2696478340938,1633.4731358093693,-105.70386419063084,-6.0778094576130455
saint christophe,Saint-Christophe,2927.7479999999996,2676.907127795959,2742.499665797212,-185.24833420278765,-6.327331935767274
saint marcel,Saint-Marcel,2904.715,2716.3764397680366,2703.028191723393,-201.68680827660728,-6.943428469801935
lillianes,Lillianes,409.1,374.3812886207882,373.94907182528857,-35.15092817471145,-8.59225817030346
gignod,Gignod,540.716,472.16513774956314,491.77735546675575,-48.93864453324426,-9.050711377736974
bard,Bard,1436.1079999999995,1201.3779466132858,1219.6011669838565,-216.506833016143,-15.07594366274285
verres,Verrès,7630.375,6055.522039967429,6278.250126339648,-1352.124873660352,-17.720293873634677
pontey,Pontey,1050.4330000000002,864.6334405223748,860.4201758169494,-190.01282418305084,-18.08899988700382
doues,Doues,106.635,68.89897761938431,70.21137169962786,-36.423628300372144,-34.157291977654744
