comune_key,n_obs,MAE_kwh,RMSE_kwh,Bias_kwh,MAPE_pct,model,best_RMSE_kwh,delta_from_best_RMSE,underperform_flag
saint oyen,9,3148.921690065742,4674.83873246818,1759.4246612802672,10.127653869176099,GAMM,4674.83873246818,0,ok
saint oyen,9,3594.776694095701,4704.23472598725,-834.7915621385562,9.948066694243975,Mixed,4674.83873246818,29.395993519070544,ok
saint oyen,9,4636.851259590324,5723.438839206364,3230.808639759683,13.80951140781333,Prophet,4674.83873246818,1048.600106738184,high_gap
saint pierre,9,17103.416171342535,28446.972224978002,10541.715239011824,5.121600659116277,GAMM,28446.972224978002,0,ok
saint pierre,9,23114.1591734388,30439.50858904658,-8385.749714201607,6.069727832696568,Mixed,28446.972224978002,1992.5363640685791,ok
saint pierre,9,22125.137983012013,35071.296047339965,1819.654755017138,6.244896686463689,Prophet,28446.972224978002,6624.323822361963,high_gap
saint rhemy en bosses,9,19265.925611724655,25167.56701694215,19265.925611724655,12.72223678075288,Prophet,25167.56701694215,0,ok
saint rhemy en bosses,9,16814.396134506722,25373.44515381397,4002.689042471288,10.322023499821393,GAMM,25167.56701694215,205.87813687181915,ok
saint rhemy en bosses,9,25702.308200400472,31649.224728256628,-13986.436479439326,13.623294478291664,Mixed,25167.56701694215,6481.657711314478,high_gap
saint vincent,9,46871.11375679169,56999.988171899364,-1577.2299677474011,3.5210333615510425,Mixed,56999.988171899364,0,ok
saint vincent,9,128434.02698808297,140775.7059892727,128434.02698808297,9.859789976407294,GAMM,56999.988171899364,83775.71781737334,ok
saint vincent,9,149079.90768712075,168855.87723242122,149079.90768712075,11.35207972558583,Prophet,56999.988171899364,111855.88906052185,high_gap
sarre,9,35601.371996161644,58503.75145083904,14517.337365202904,9.581329984702492,Mixed,58503.75145083904,0,ok
sarre,9,38087.39386910472,60370.058903538775,10181.625761901461,10.131035685677006,Prophet,58503.75145083904,1866.307452699737,ok
sarre,9,48295.08144324596,71042.56962589346,44694.31081098052,12.97203107407585,GAMM,58503.75145083904,12538.818175054425,high_gap
torgnon,9,24322.251213310494,32823.62178183471,12657.584073430658,11.083337298372163,Mixed,32823.62178183471,0,ok
torgnon,9,25055.472840527065,33432.9188519073,21134.11093811059,12.635041806205184,Prophet,32823.62178183471,609.2970700725928,ok
torgnon,9,51540.193772670034,60763.15238110955,51540.193772670034,20.818879144105303,GAMM,32823.62178183471,27939.53059927484,high_gap
valgrisenche,9,30616.890876301262,31602.63411665105,30616.890876301262,59.75304453601805,Mixed,31602.63411665105,0,ok
valgrisenche,9,33312.91562407459,33936.77707043011,33312.91562407459,62.80563613847787,GAMM,31602.63411665105,2334.1429537790573,ok
valgrisenche,9,36866.90846724213,37333.498110015345,36866.90846724213,69.47591510219972,Prophet,31602.63411665105,5730.863993364295,high_gap
valpelline,9,56902.06035435929,73486.09021444569,56902.06035435929,241.6231550689416,Mixed,73486.09021444569,0,ok
valpelline,9,58428.16350725709,73970.62991621988,58428.16350725709,251.518342111704,GAMM,73486.09021444569,484.5397017741925,ok
valpelline,9,56777.442410913616,74356.01376284393,56777.442410913616,239.91043493443448,Prophet,73486.09021444569,869.9235483982338,high_gap
valsavarenche,9,7000.622879020582,8299.020044936695,5161.848218892281,15.313547451822357,Prophet,8299.020044936695,0,ok
valsavarenche,9,9389.205837714742,11101.316201737507,7696.314318575339,20.766039976349813,GAMM,8299.020044936695,2802.2961568008122,ok
valsavarenche,9,9850.273540363467,11370.693446314084,4897.997580939345,20.28002737624269,Mixed,8299.020044936695,3071.6734013773894,high_gap
valtournenche,9,43671.842494219454,55196.70651533844,-31211.463788573823,2.4101075070960376,Mixed,55196.70651533844,0,ok
valtournenche,9,149380.70590969812,173979.77087283318,149380.70590969812,9.449069543674568,GAMM,55196.70651533844,118783.06435749473,ok
valtournenche,9,223998.9678224388,234694.6408574195,187873.43866232544,14.112937350810247,Prophet,55196.70651533844,179497.93434208105,high_gap
verrayes,9,9057.008814963272,11827.320036498757,-4104.444801103486,5.9940035908097755,GAMM,11827.320036498757,0,ok
verrayes,9,10652.83131031334,14716.562955791725,4595.126950259589,7.320130677764075,Mixed,11827.320036498757,2889.2429192929685,ok
verrayes,9,16695.492129579306,24082.641123577978,8046.6671330588,11.667647814780826,Prophet,11827.320036498757,12255.32108707922,high_gap
verres,9,99888.47820260811,111345.04634117238,-91452.48980780359,11.54025278235928,GAMM,111345.04634117238,0,ok
verres,9,167991.8855127324,180859.0995783413,-167991.8855127324,19.289817104582536,Mixed,111345.04634117238,69514.05323716892,ok
