year_month,year,month,month_label,parameter,mean_value,median_value,sd_value,n_stations_with_data
2023-02-01,2023,2,Feb,temperatura,3.1691964285714285,3.742857142857143,2.8383828865595784,8
2023-02-01,2023,2,Feb,umidit_relativa,54.09642857142857,54.278571428571425,4.535486964682262,7
2023-03-01,2023,3,Mar,precipitazione,2.776958525345622,2.8967741935483873,0.811689289385017,7
2023-03-01,2023,3,Mar,pressione,864.924193548387,848.0967741935484,57.391643518468335,4
2023-03-01,2023,3,Mar,temperatura,5.17741935483871,5.3677419354838705,3.7463024732262142,8
2023-03-01,2023,3,Mar,umidit_relativa,59.39354838709677,60.806451612903224,4.267054293222799,7
2023-04-01,2023,4,Apr,precipitazione,1.5199999999999998,1.1866666666666663,0.676559925899645,7
2023-04-01,2023,4,Apr,pressione,865.2708333333333,848.645,56.92610501700789,4
2023-04-01,2023,4,Apr,temperatura,7.393750000000001,7.720000000000001,4.203155820238687,8
2023-04-01,2023,4,Apr,umidit_relativa,54.868095238095236,56.223333333333336,5.566885177728258,7
2023-05-01,2023,5,May,precipitazione,4.1815668202764975,2.361290322580645,2.8863462196654472,7
2023-05-01,2023,5,May,pressione,868.5403225806451,852.0258064516129,56.13979099089039,4
2023-05-01,2023,5,May,temperatura,11.626209677419356,12.070967741935483,3.9231700675500636,8
2023-05-01,2023,5,May,umidit_relativa,69.54991260130303,72.3225806451613,5.8510363552491915,7
2023-06-01,2023,6,Jun,precipitazione,1.9485714285714286,1.4533333333333336,1.2671327463314161,7
2023-06-01,2023,6,Jun,pressione,869.895,853.6633333333333,55.022658531298326,4
2023-06-01,2023,6,Jun,temperatura,16.756666666666668,17.216666666666665,4.037544829963904,8
2023-06-01,2023,6,Jun,umidit_relativa,66.39809523809524,68.4,5.864683331775946,7
2023-07-01,2023,7,Jul,precipitazione,1.8691244239631337,1.7548387096774194,0.4933088783635217,7
2023-07-01,2023,7,Jul,pressione,870.3290322580646,854.3370967741935,54.39652037646296,4
2023-07-01,2023,7,Jul,temperatura,19.51532258064516,20.11451612903226,4.0387927694224715,8
2023-07-01,2023,7,Jul,umidit_relativa,55.397235023041475,55.83870967741935,5.349817709677837,7
2023-08-01,2023,8,Aug,precipitazione,2.7244239631336407,2.7354838709677423,1.4067559811023296,7
2023-08-01,2023,8,Aug,pressione,870.2096774193549,854.1903225806452,54.45964956235387,4
2023-08-01,2023,8,Aug,temperatura,18.82741935483871,19.366129032258065,4.066004043361282,8
2023-08-01,2023,8,Aug,umidit_relativa,54.49308755760369,55.42580645161291,4.337752394122324,7
2023-09-01,2023,9,Sep,precipitazione,1.659047619047619,1.6533333333333335,1.012510108382489,7
2023-09-01,2023,9,Sep,pressione,872.885,856.505,55.38984507143024,4
2023-09-01,2023,9,Sep,temperatura,15.539583333333333,15.961666666666666,3.4923214808200025,8
2023-09-01,2023,9,Sep,umidit_relativa,69.25904761904762,70.17999999999999,4.148347602442184,7
2023-10-01,2023,10,Oct,precipitazione,3.3549308755760365,3.0199999999999996,1.4661011946478393,7
2023-10-01,2023,10,Oct,pressione,868.6620967741935,852,56.34311517519071,4
2023-10-01,2023,10,Oct,temperatura,11.34032258064516,11.551612903225806,3.1431062647052475,8
2023-10-01,2023,10,Oct,umidit_relativa,66.1500960061444,65.63225806451612,3.8392145696404616,7
2023-11-01,2023,11,Nov,precipitazione,3.9485714285714284,3.8,2.0301129845796098,7
2023-11-01,2023,11,Nov,pressione,862.9566666666667,846.05,57.536910729516116,4
2023-11-01,2023,11,Nov,temperatura,3.8779166666666667,4.368333333333333,3.037390242317734,8
2023-11-01,2023,11,Nov,umidit_relativa,62.13134646962233,62.782758620689656,3.2362559246593072,7
2023-12-01,2023,12,Dec,precipitazione,2.32772922294613,2.425806451612903,1.1777511008841695,7
2023-12-01,2023,12,Dec,pressione,868.6733870967741,851.4516129032259,58.052170036008896,4
2023-12-01,2023,12,Dec,temperatura,2.70241935483871,2.7161290322580647,2.628879162091262,8
2023-12-01,2023,12,Dec,umidit_relativa,62.77938214712408,62.05483870967742,2.6491219806250403,7
2024-01-01,2024,1,Jan,precipitazione,1.370552995391705,1.2193548387096778,0.6703221334171595,7
2024-01-01,2024,1,Jan,pressione,869.191935483871,851.8887096774193,58.29604618703209,4
2024-01-01,2024,1,Jan,temperatura,1.9431451612903223,2.211290322580645,2.410747168454746,8
2024-01-01,2024,1,Jan,umidit_relativa,61.653456221198155,61.3,3.7100251623563003,7
2024-02-01,2024,2,Feb,precipitazione,3.1004926108374384,3.1310344827586203,0.7634522956508522,7
2024-02-01,2024,2,Feb,pressione,867.0448275862069,849.9534482758621,57.557194494947474,4
2024-02-01,2024,2,Feb,temperatura,4.603879310344827,5.189655172413794,3.0954656161342307,8
2024-02-01,2024,2,Feb,umidit_relativa,62.88265306122449,64.35172413793103,2.957052793581404,7
2024-03-01,2024,3,Mar,precipitazione,5.711798294401187,4.780645161290322,3.268530104642709,7
2024-03-01,2024,3,Mar,pressione,862.7282258064515,845.7435483870968,57.342400188236766,4
2024-03-01,2024,3,Mar,temperatura,4.870161290322581,5.154838709677419,3.934837428965634,8
2024-03-01,2024,3,Mar,umidit_relativa,67.43778801843318,69.21290322580646,4.622787633258208,7
2024-04-01,2024,4,Apr,precipitazione,1.7923809523809524,1.4466666666666663,1.4667344861664815,7
2024-04-01,2024,4,Apr,pressione,868.2725,851.2183333333334,57.453246136895274,4
2024-04-01,2024,4,Apr,temperatura,7.794583333333334,8.043333333333333,4.190734654502053,8
2024-04-01,2024,4,Apr,umidit_relativa,56.74761904761905,57.626666666666665,5.159351708588015,7
2024-05-01,2024,5,May,precipitazione,5.637357910906298,4.670967741935484,2.212595948983278,7
2024-05-01,2024,5,May,pressione,866.4758064516129,849.7983870967741,56.248343868940765,4
2024-05-01,2024,5,May,temperatura,10.928225806451612,11.164516129032258,4.007810031884291,8
2024-05-01,2024,5,May,umidit_relativa,72.31645161290322,74.99677419354839,5.972993884867503,7
2024-06-01,2024,6,Jun,precipitazione,4.586666666666666,4.213333333333333,1.3975375168885842,7
2024-06-01,2024,6,Jun,pressione,868.8458333333334,852.5450000000001,55.15166989010099,4
2024-06-01,2024,6,Jun,temperatura,15.32375,15.646666666666665,3.875178004104078,8
2024-06-01,2024,6,Jun,umidit_relativa,68.91608843537415,71.85333333333334,5.236853250768981,7
2024-07-01,2024,7,Jul,precipitazione,1.7714285714285716,1.606451612903226,0.6891544447143475,7
2024-07-01,2024,7,Jul,pressione,870.2983870967741,854.2048387096775,54.2810290156284,4
2024-07-01,2024,7,Jul,temperatura,19.35524193548387,19.711290322580645,3.9553139585221486,8
2024-07-01,2024,7,Jul,umidit_relativa,62.67327188940092,64.39032258064516,4.58412510335213,7
2024-08-01,2024,8,Aug,precipitazione,1.0327347846813921,0.9483870967741936,0.4130783399541215,7
2024-08-01,2024,8,Aug,pressione,871.0180756395996,854.8442157953282,54.225293133689995,4
2024-08-01,2024,8,Aug,temperatura,19.900570077864295,20.448387096774194,3.936258378536262,8
2024-08-01,2024,8,Aug,umidit_relativa,60.707389162561576,62.58387096774194,4.113315492483782,7
2024-09-01,2024,9,Sep,precipitazione,4.466666666666667,4.113333333333333,1.0980858766929806,7
2024-09-01,2024,9,Sep,pressione,868.6,851.9483333333333,55.99868430994106,4
