"model","comune_key","comune_nome","n_obs","actual_total","pred_total","mae","rmse","bias","mape","coverage_90","total_rel_error","implausible"
"nnetar_share","charvensod","Charvensod",9,19464,19616.519792101,238.192759825328,392.032429743737,16.94664356678,0.108321373889116,1,0.00783599425097711,FALSE
"nnetar_share","perloz","Perloz",9,884,890.624834333203,11.0263862932578,15.888727280663,0.736092703689197,0.116875941631281,1,0.00749415648552351,FALSE
"nnetar_share","brusson","Brusson",9,24069,23895.6665226057,218.958930477768,331.820591422348,-19.2592752660353,0.112499397634624,1,-0.00720152384371254,FALSE
"nnetar_share","quart","Quart",9,7286,7234.58962526754,81.7368974552195,124.21056806016,-5.71226385916221,0.109451031074671,1,-0.00705604923585778,FALSE
"nnetar_share","morgex","Morgex",9,13505,13412.7868312228,140.858209391542,214.072538474639,-10.2459076419137,0.110969256085149,1,-0.00682807617750637,FALSE
"nnetar_share","villeneuve","Villeneuve",9,2581,2563.57196576808,24.8832478254816,29.6289982212025,-1.93644824799091,0.117738798199741,1,-0.00675243480508252,FALSE
"nnetar_share","ayas","Ayas",9,66587,66141.603973099,695.883831938732,945.410911643945,-49.4884474334437,0.130175001502694,1,-0.0066889336792617,FALSE
"nnetar_share","gignod","Gignod",9,7182,7225.02959884081,77.2321015779055,111.275664148243,4.7810665378679,0.118057939662684,1,0.00599131145096234,FALSE
"nnetar_share","fenis","Fénis",9,7013,7049.31315411091,73.7058087797966,119.056812414076,4.0347949012127,0.11102839561465,1,0.00517797720104295,FALSE
"nnetar_share","chatillon","Châtillon",9,25773,25664.4152169379,287.104371772751,427.081723083188,-12.0649758957905,0.108408687882354,1,-0.00421312160253417,FALSE
"nnetar_share","bard","Bard",9,6889,6862.03767220547,76.2386012220792,109.951966360866,-2.99581419939249,0.116920367830033,1,-0.00391382316657454,FALSE
"nnetar_share","pontey","Pontey",9,919,922.517337588491,7.86126572435171,10.2438507502069,0.39081528761007,0.109929858199073,1,0.00382735319748704,FALSE
"nnetar_share","pollein","Pollein",9,28775,28670.7271133189,347.690141117773,565.201137861582,-11.5858762979015,0.103464573700014,1,-0.00362373194373978,FALSE
"nnetar_share","verrayes","Verrayes",9,3739,3725.96774336754,36.7351085802963,50.4769690207233,-1.44802851471776,0.106141032124077,1,-0.00348549254679322,FALSE
"nnetar_share","saint oyen","Saint-Oyen",9,3658,3670.69813449611,42.4791060956356,51.6090445943041,1.4109038329008,0.140318862102956,1,0.00347133255771112,FALSE
"nnetar_share","la magdeleine","La Magdeleine",9,979,980.152921899407,9.07233918409643,11.7061219024888,0.128102433267398,0.130893992709881,1,0.00117765260409252,FALSE
"nnetar_share","introd","Introd",9,4684,4687.1931390784,45.5547391889614,63.5580605605331,0.354793230933274,0.111062698384676,1,0.000681712015029745,FALSE
"nnetar_share","champorcher","Champorcher",9,5002,4999.39832694009,44.851375474408,65.0135504164988,-0.289074784434272,0.124463052663363,1,-0.000520126561357164,FALSE
"nnetar_share","aosta","Aosta",9,121478,121513.234692833,1424.21947487256,2237.78364654561,3.91496587035464,0.10814110224003,1,0.00029004999121814,FALSE
