"comune_key","comune_nome","date","q05","q50","q95","scale_factor"
"gressoney la trinite","Gressoney-La-Trinité",2025-03-01,463.478163931134,1789.85700240083,6882.98250548076,3.57762181342539
"gressoney la trinite","Gressoney-La-Trinité",2025-04-01,184.894773709897,715.041551758122,2750.73753645002,1.78501399459999
"gressoney la trinite","Gressoney-La-Trinité",2025-05-01,68.1460069918937,265.139545135481,1021.56959661204,1.22103135018847
"gressoney la trinite","Gressoney-La-Trinité",2025-06-01,199.585804386313,770.468531872618,2962.5853647851,1.43827193394973
"gressoney la trinite","Gressoney-La-Trinité",2025-07-01,479.820748431117,1846.73479343064,7095.51031757681,1.50863863080624
"gressoney la trinite","Gressoney-La-Trinité",2025-08-01,453.705868134512,1746.11504613874,6708.80138732184,1.38823215487078
"gressoney la trinite","Gressoney-La-Trinité",2025-09-01,275.095711104593,1061.12291537086,4079.36708819101,1.6868662838857
"gressoney saint jean","Gressoney-Saint-Jean",2025-01-01,1007.82854882204,3875.86968979359,14888.7817291757,2.09046510739047
"gressoney saint jean","Gressoney-Saint-Jean",2025-02-01,697.713819757153,2687.69215441298,10328.9550522028,3.01425863985616
"gressoney saint jean","Gressoney-Saint-Jean",2025-03-01,481.370793393341,1858.56241656159,7146.80252952875,3.57762181342539
"gressoney saint jean","Gressoney-Saint-Jean",2025-04-01,197.93500964233,765.114393895954,2943.01086131558,1.78501399459999
"gressoney saint jean","Gressoney-Saint-Jean",2025-05-01,119.680223789974,463.024362235229,1781.42204555931,1.22103135018847
"gressoney saint jean","Gressoney-Saint-Jean",2025-06-01,300.538744622694,1158.11494149269,4451.09811676116,1.43827193394973
"gressoney saint jean","Gressoney-Saint-Jean",2025-07-01,595.940480895055,2292.61975002814,8807.65165911578,1.50863863080624
"gressoney saint jean","Gressoney-Saint-Jean",2025-08-01,526.92411285807,2027.26376374233,7788.37659031374,1.38823215487078
"gressoney saint jean","Gressoney-Saint-Jean",2025-09-01,243.675912184699,940.474896464599,3616.09408943261,1.6868662838857
"hone","Hône",2025-01-01,163.458801904252,633.597597291116,2438.8705851614,2.09046510739047
"hone","Hône",2025-02-01,258.50484518217,1001.18573203196,3852.98557665916,3.01425863985616
"hone","Hône",2025-03-01,295.685288546655,1145.55377011934,4408.94030209658,3.57762181342539
"hone","Hône",2025-04-01,167.139437586957,646.863326502483,2488.94185053207,1.78501399459999
"hone","Hône",2025-05-01,125.828002558763,486.631048293893,1872.06870797689,1.22103135018847
"hone","Hône",2025-06-01,298.480158698031,1150.21023420312,4420.74504935446,1.43827193394973
"hone","Hône",2025-07-01,651.679922225904,2506.65209277654,9629.50854624277,1.50863863080624
"hone","Hône",2025-08-01,748.70324095544,2878.86731817385,11058.4255806858,1.38823215487078
"hone","Hône",2025-09-01,324.069726226383,1249.17688469744,4801.47033603659,1.6868662838857
"introd","Introd",2025-01-01,238.57700564832,922.041915112013,3546.45996212028,2.09046510739047
"introd","Introd",2025-02-01,275.647507512645,1067.01136809742,4105.74762026069,3.01425863985616
"introd","Introd",2025-03-01,225.80345361568,877.216440416756,3378.55919400127,3.57762181342539
"introd","Introd",2025-04-01,106.903621544084,415.565478565806,1600.78762643955,1.78501399459999
"introd","Introd",2025-05-01,81.5391487721717,316.567500700724,1219.04638413588,1.22103135018847
"introd","Introd",2025-06-01,236.651617981419,912.796526739791,3509.10670502042,1.43827193394973
"introd","Introd",2025-07-01,486.113303972426,1870.89740382328,7188.29165850483,1.50863863080624
"introd","Introd",2025-08-01,466.540358088035,1795.3978499693,6898.04106589084,1.38823215487078
"introd","Introd",2025-09-01,184.071264876874,711.6006559378,2737.2462085587,1.6868662838857
"issime","Issime",2025-01-01,65.3674361934455,256.9392687324,992.550662458803,2.09046510739047
