"scenario","comune_key","comune_nome","date","mean_arrivals","q05","q25","q50","q75","q95"
"shock","chatillon","Châtillon",2025-11-01,11384.6129709384,1976.55012238382,3960.39151929166,7563.6329136969,14103.3750134503,30677.7760135759
"shock","chatillon","Châtillon",2025-12-01,30462.0026053388,4895.4823506628,8797.86040182754,20311.7964785554,42420.6672202377,84541.0142798629
"shock","chatillon","Châtillon",2026-01-01,13614.6271269766,2507.27814817006,5243.01101836216,11403.9790174245,18764.8180890285,32662.9306527022
"shock","chatillon","Châtillon",2026-02-01,12133.3767430015,1599.76570591351,3686.55307133734,8102.8170514661,15382.1048884568,31686.0667617452
"shock","chatillon","Châtillon",2026-03-01,5081.32810898449,1004.57467338474,1602.09498841678,3803.12404716968,6571.4589947292,13657.6493344601
"shock","chatillon","Châtillon",2026-04-01,2759.1902011604,367.306672694215,876.092596468708,1605.55531532332,3553.45488618421,8896.7588776346
"shock","chatillon","Châtillon",2026-05-01,1653.09375736645,236.049612654195,561.743557999196,981.546097293666,2249.64186137769,3997.7563901294
"shock","chatillon","Châtillon",2026-06-01,1666.3785714765,189.00253783236,530.656256121237,1077.38689731222,1754.88871712931,5903.84986721801
"shock","chatillon","Châtillon",2026-07-01,2749.43527174827,495.587851719838,1204.69476756424,1708.42698067927,3283.21122815856,8970.6960569281
"shock","chatillon","Châtillon",2026-08-01,3566.54003693722,532.217911371484,1245.62580371002,2412.15327968205,3851.34522381486,11980.6684118858
"shock","chatillon","Châtillon",2026-09-01,2267.33481470687,495.32330863274,971.604297663776,1582.15283429349,2485.13012216803,5771.01133417885
"shock","cogne","Cogne",2025-10-01,2297.94311624325,328.907869581632,1229.48464330404,1774.87378020639,3046.71018299967,5251.51983053703
"shock","cogne","Cogne",2025-11-01,3883.42181289779,543.352004251897,1217.08035498561,1805.04766694181,3305.35795644817,13223.1856406798
"shock","cogne","Cogne",2025-12-01,6541.57159029587,885.560945288442,1734.44805221444,4010.78964136222,7133.0330837866,23995.610932306
"shock","cogne","Cogne",2026-01-01,3803.57865781607,299.270554867584,710.676497630016,2246.83189577322,4527.49031285776,10940.5795515006
"shock","cogne","Cogne",2026-02-01,3578.04710448512,304.629401382697,879.839699638231,1587.49647929077,3845.15047338797,11588.8789187287
"shock","cogne","Cogne",2026-03-01,1183.57100511419,286.504315275907,442.767809222881,825.746858770512,1399.84584980828,2996.85243676955
"shock","cogne","Cogne",2026-04-01,567.900176893075,49.785701150067,175.973992417964,302.310599765574,513.000214747681,1665.98514790989
"shock","cogne","Cogne",2026-05-01,274.416301473548,32.3414736940637,90.2360341407145,188.733580189062,309.47772038293,797.537960159688
"shock","cogne","Cogne",2026-06-01,268.022588157129,34.7874535599738,105.59718550754,220.110360013677,365.537743018752,775.736328468795
"shock","cogne","Cogne",2026-07-01,400.694601204027,62.5716452531798,140.632735390874,229.050018226733,476.499988084441,1108.07744410628
"shock","cogne","Cogne",2026-08-01,487.552766515701,96.0189166968135,168.265897741588,332.596882054922,543.28948799647,1134.86333610108
"shock","cogne","Cogne",2026-09-01,472.196030607008,93.27390041896,165.372343812973,311.730735794307,549.604647168638,1260.71410973912
"shock","courmayeur","Courmayeur",2025-10-01,7437.75303076847,1473.70076568313,2801.05728601563,5118.75879265538,8866.88010544628,19439.7456110998
"shock","courmayeur","Courmayeur",2025-11-01,6520.59891342375,1091.99200960423,2860.64895351571,4021.89622062024,6220.12549985066,22302.934857234
"shock","courmayeur","Courmayeur",2025-12-01,10949.8427526229,1415.62379083886,4315.66509741586,8684.29200949738,13917.8449174596,26491.4009408634
"shock","courmayeur","Courmayeur",2026-01-01,5982.0286024126,627.987864097519,2049.95156428155,4381.42064841031,6091.60842406409,18523.4674025389
"shock","courmayeur","Courmayeur",2026-02-01,5151.69631353547,585.917066290492,1929.65454298374,3625.49965538517,6745.21153678301,13930.3610852871
"shock","courmayeur","Courmayeur",2026-03-01,3082.13905120299,348.762259068403,698.770101312397,1699.30331984215,3504.58944555426,10896.8175505187
"shock","courmayeur","Courmayeur",2026-04-01,1158.69196426008,226.834649233691,371.796000742532,760.058890983861,1475.28626099511,3717.97483522423
"shock","courmayeur","Courmayeur",2026-05-01,453.316613958692,80.8140343733092,179.556924583645,289.473375122834,458.306605505726,1624.18551416787
"shock","courmayeur","Courmayeur",2026-06-01,502.191739245599,71.2137105015011,157.478247093762,287.701641510138,482.92323756243,1311.49043308099
"shock","courmayeur","Courmayeur",2026-07-01,871.91746467183,144.628094484965,316.748095168669,612.531960326728,1029.48648011205,2130.29804372783
"shock","courmayeur","Courmayeur",2026-08-01,1549.06098023229,181.269874321952,470.299131846822,860.640230677961,2267.88877295364,4764.472703147
"shock","courmayeur","Courmayeur",2026-09-01,1540.07857188248,126.079592740268,303.100789309763,683.989493037174,1291.96564763451,4368.57009234905
"shock","donnas","Donnas",2025-10-01,398.875750930763,103.284642212543,162.698216696132,283.545208978926,446.756004481142,1257.83572413561
"shock","donnas","Donnas",2025-11-01,1753.26771926492,227.668239363098,557.47207703988,1150.92616465263,2034.48961965617,3914.65339959349
"shock","donnas","Donnas",2025-12-01,4565.64482603831,705.357624469984,1228.32878786687,2222.0607372845,4348.20704296385,14788.8794152538
"shock","donnas","Donnas",2026-01-01,2941.81215280992,470.108971721793,1039.37123305095,1936.66267513583,3906.67584972367,7396.05754175145
"shock","donnas","Donnas",2026-02-01,3593.48035706217,357.948503242765,1111.68384900404,2225.55970074633,3459.42454493595,12000.1577399221
"shock","donnas","Donnas",2026-03-01,1863.72237228905,285.002334573764,479.614882561903,975.64323296178,2196.0446725712,5731.19662162778
"shock","donnas","Donnas",2026-04-01,834.637526429157,184.935227885885,336.582711816786,555.616081629774,1008.74521787846,2570.98480138286
"shock","donnas","Donnas",2026-05-01,592.492055565781,81.3501097313614,178.39976408565,382.777712943897,736.795406186929,1722.6051188983
"shock","donnas","Donnas",2026-06-01,491.666284833974,85.1697859566838,236.359745347585,336.796902172134,645.272326297967,1317.44833388467
"shock","donnas","Donnas",2026-07-01,1026.3115602317,93.39037694286,242.601340179099,694.219239439811,1569.52087185911,2697.28367515424
"shock","donnas","Donnas",2026-08-01,1174.49108222833,118.329015364436,426.206780675487,755.372633232187,1407.76152633283,3493.29716998275
"shock","donnas","Donnas",2026-09-01,965.169663458207,128.506002728312,229.387146833425,510.435485818849,1056.93341733852,3092.98992250144
"shock","doues","Doues",2025-10-01,719.253618208777,158.424718211212,283.950512198099,442.170134808589,830.408610388336,2217.99637947803
"shock","doues","Doues",2025-11-01,1398.02291382413,321.602668389087,643.668160058068,1058.180096396,1857.71356913632,3793.35012129862
"shock","doues","Doues",2025-12-01,3916.75506561614,427.948072455845,1436.85070515522,2939.82060539847,4674.29036658933,11026.4955733644
"shock","doues","Doues",2026-01-01,1724.279248765,365.277913934645,837.92777639253,1380.78881452668,2174.10187398101,3793.91767806579
"shock","doues","Doues",2026-02-01,1669.44703112258,306.619589341067,562.060037873743,1113.66441030652,2290.50456615211,4975.10432203158
"shock","doues","Doues",2026-03-01,760.372074497228,113.251064275861,256.401248249743,420.949248559131,779.884686479107,2450.11184781206
"shock","doues","Doues",2026-04-01,270.127864269384,48.4823734614882,99.0637384834891,180.212811390435,303.16406267139,768.801237281172
"shock","doues","Doues",2026-05-01,192.670227948517,33.0570877754454,56.820156729156,113.744097309759,217.126991189607,611.999819197909
"shock","doues","Doues",2026-06-01,199.919791973118,25.4414708752256,71.3181856680176,129.355766862364,241.82180135866,469.480587561281
"shock","doues","Doues",2026-07-01,408.804448107379,60.9569758373449,129.090058852408,189.650930911098,422.966633754338,1718.6992842248
"shock","doues","Doues",2026-08-01,627.997448484354,101.142159488309,300.382808382421,419.837743030375,763.255986719316,1566.50134722593
"shock","doues","Doues",2026-09-01,614.183131805053,100.169595548012,256.834559031843,422.283913690582,821.940950004642,1514.73734774117
"shock","emarese","Emarèse",2025-10-01,58.92731738523,9.40284910594738,23.826478586701,41.5278524375477,70.6891279373492,178.072788704059
"shock","emarese","Emarèse",2025-11-01,631.352543197171,66.0402044705269,219.901746698448,325.995706233823,818.749693944504,1890.36603418493
"shock","emarese","Emarèse",2025-12-01,3178.66023542034,531.765533636933,1003.29159553831,2016.43657148443,3060.15737861542,12144.2957259669
"shock","emarese","Emarèse",2026-01-01,2279.26213018888,347.845838376052,914.386906547616,1522.8943344463,3119.11685738066,5745.76308620095
"shock","emarese","Emarèse",2026-02-01,1973.77205631688,361.709261467714,745.136532022797,1345.53769702595,2024.69379896558,6312.51502251546
"shock","emarese","Emarèse",2026-03-01,1253.49287691772,195.232814771646,397.576477031871,814.941796866899,1554.37954389078,2544.49541837693
"shock","emarese","Emarèse",2026-04-01,468.344766539752,59.2219524905951,149.02358039827,320.225605936801,626.048899720726,1387.17135730888
"shock","emarese","Emarèse",2026-05-01,416.045888671484,54.3297882725221,162.562610540879,273.856754843255,574.122923437515,1053.4459178417
"shock","emarese","Emarèse",2026-06-01,280.160510311212,50.755667079191,102.522932597138,168.564694914979,348.539460518953,858.58498327492
"shock","emarese","Emarèse",2026-07-01,510.0017212474,79.2273838675926,232.292560676322,363.272824867163,579.13160105584,1271.79933326956
"shock","emarese","Emarèse",2026-08-01,954.85580972861,108.387341038848,244.659672067194,435.787132408935,732.88013287988,3156.79428654462
"shock","emarese","Emarèse",2026-09-01,407.0191714798,54.018334920483,141.510773292567,222.168605349864,555.466082933113,1159.7285978121
"shock","etroubles","Etroubles",2025-10-01,1235.74245364396,226.685942681047,394.030551411705,773.928145622056,1293.92929824548,3587.49755380316
"shock","etroubles","Etroubles",2025-11-01,1546.45793675046,404.055306679738,729.508792569993,1110.3467027376,1871.32791149988,4670.86468882798
"shock","etroubles","Etroubles",2025-12-01,2808.3295841625,497.169235022336,909.58177072359,1989.07383883825,3538.47183481991,7073.23181805525
"shock","etroubles","Etroubles",2026-01-01,1465.09559637273,158.002698522481,294.506997716766,913.709836664708,1656.26117534245,5757.31777552693
"shock","etroubles","Etroubles",2026-02-01,1357.62567826836,166.094510286524,428.749273454048,837.675385936939,1371.52786513653,4492.53615130242
"shock","etroubles","Etroubles",2026-03-01,591.077203465358,78.7760511882351,186.470616889217,421.712435028886,647.140041145355,1639.07112981352
"shock","etroubles","Etroubles",2026-04-01,303.323016335932,64.2024517891589,122.454734721418,206.898901103008,353.951291958763,796.020245912014
"shock","etroubles","Etroubles",2026-05-01,140.88082986896,31.3277872413425,77.3887790216603,109.725752737245,197.959105209327,325.116049356258
"shock","etroubles","Etroubles",2026-06-01,231.315194639998,26.3148928935833,69.7463692781909,120.50097533587,260.908363243558,745.129289891732
"shock","etroubles","Etroubles",2026-07-01,572.456154286228,32.834240042507,95.7400611619754,202.85577439246,384.319624532888,1589.51421376031
"shock","etroubles","Etroubles",2026-08-01,556.300592050085,46.129411443263,177.05667964654,367.855810011009,628.524580877413,1774.71357456056
"shock","etroubles","Etroubles",2026-09-01,524.908090088983,76.4893091980281,149.149859805553,248.155917352865,687.518740189546,1876.24440944818
"shock","fenis","Fénis",2025-10-01,988.201766099033,150.418462554904,425.129153325486,752.108223811063,1300.12577443227,2568.02212855197
"shock","fenis","Fénis",2025-11-01,2561.01954202455,197.995859308736,748.861026911236,1866.98339887884,3078.66091703697,5783.47360950844
"shock","fenis","Fénis",2025-12-01,3448.08082761715,533.33224927146,1382.27327374523,2580.94755876653,5078.82673796472,9174.39401886607
"shock","fenis","Fénis",2026-01-01,1437.24106646421,231.38407871191,629.241021095102,1179.89060721773,1793.25019806769,3182.28768866664
"shock","fenis","Fénis",2026-02-01,2258.59395799277,316.22765881068,583.821804806224,1385.40237808576,2949.9595006896,6993.63878023029
"shock","fenis","Fénis",2026-03-01,891.203918517474,184.682201873222,364.953998471695,536.332483542478,1086.34265355113,2759.54929467141
"shock","fenis","Fénis",2026-04-01,751.079414099771,105.74767164788,196.984523204951,326.918797230169,903.691026260372,2355.09780710809
"shock","fenis","Fénis",2026-05-01,297.169460280874,37.2793790457564,106.379806031156,188.404231210342,363.405556762861,893.295140211506
"shock","fenis","Fénis",2026-06-01,317.917043832038,29.5883190302417,96.5151161520238,194.44357875277,470.295348048712,845.439517323362
"shock","fenis","Fénis",2026-07-01,559.140440866554,69.8072205991693,156.252805914496,343.112899665141,789.845366934065,1419.10131515627
"shock","fenis","Fénis",2026-08-01,603.617964106811,118.892906626235,250.633478757301,398.642278603406,725.480426925633,2065.69267541234
"shock","fenis","Fénis",2026-09-01,427.373353990116,59.2487150488724,150.613026308963,286.230721109509,457.933481297411,1179.1662545165
"shock","fontainemore","Fontainemore",2025-10-01,422.194029809848,86.8682889203485,162.385375064026,252.984951216704,406.082035768696,1154.52153142299
"shock","fontainemore","Fontainemore",2025-11-01,1174.03399682532,153.924938486052,299.248998067377,736.678624958385,1442.50029740251,3687.95071125502
"shock","fontainemore","Fontainemore",2025-12-01,2459.38101518953,494.892372713644,1128.07833259181,1868.53317995719,3715.92506962692,5634.54738104631
"shock","fontainemore","Fontainemore",2026-01-01,1185.3949294939,215.818179956931,456.703237434413,843.865719087741,1673.55765106777,2596.19673516568
"shock","fontainemore","Fontainemore",2026-02-01,1390.15237077413,131.010322896056,453.92543218384,863.873471662522,1594.64838067321,3720.58995901906
"shock","fontainemore","Fontainemore",2026-03-01,577.34027949529,62.9984504258016,209.535859350574,401.417028771414,715.109159511824,1570.28243961014
"shock","fontainemore","Fontainemore",2026-04-01,247.615291362639,28.7592069651295,85.9389040494609,142.638907485736,335.190647348479,694.25441966127
"shock","fontainemore","Fontainemore",2026-05-01,132.916574758733,24.8635876675106,55.1887603019346,91.6582336208586,171.446216612287,338.460054701852
"shock","fontainemore","Fontainemore",2026-06-01,226.524163111411,36.2701731302073,73.9372797926553,140.126611114239,231.735247600115,590.30866436466
"shock","fontainemore","Fontainemore",2026-07-01,392.502428877982,72.3253095343401,138.511719266899,365.90224563228,475.020485932657,1102.64887573418
"shock","fontainemore","Fontainemore",2026-08-01,550.814005422874,84.730439366512,204.078277590468,388.950110110518,795.195533459038,1445.31172321023
"shock","fontainemore","Fontainemore",2026-09-01,484.097992301045,70.7670955297573,145.478194968156,302.591237075694,658.716526889003,1471.82662269388
"shock","gaby","Gaby",2025-10-01,543.434868287738,89.903057840716,183.082333165683,428.24317334609,645.380966708882,1416.83514080122
"shock","gaby","Gaby",2025-11-01,1558.12491474687,168.318818392055,500.357677853694,1077.2403702954,2461.14252780262,3664.69045013812
"shock","gaby","Gaby",2025-12-01,4623.00869376915,794.583609762841,1347.70337383157,3460.16743449527,6799.8489001836,13162.8567794816
"shock","gaby","Gaby",2026-01-01,2913.29590102797,569.457968928975,993.398864003771,1946.43210752558,2738.05613485214,9573.46490412583
"shock","gaby","Gaby",2026-02-01,2786.41183237026,459.195445680351,1018.11393943107,1933.77636007069,3110.61488541127,8731.14670547013
"shock","gaby","Gaby",2026-03-01,1568.48654400138,200.477124139864,357.446507578925,739.071929305189,2014.47225257224,5003.10999984436
"shock","gaby","Gaby",2026-04-01,616.723109402681,88.8760691559377,211.473613337765,390.657906789583,607.26159997117,1757.00528081427
"shock","gaby","Gaby",2026-05-01,403.596774831732,53.9713689625983,119.605712879436,238.710400771732,445.367873399903,776.778330757986
"shock","gaby","Gaby",2026-06-01,400.123736794619,46.5132506246682,129.009245448117,239.089772888491,428.654263180836,1096.58018171979
"shock","gaby","Gaby",2026-07-01,658.355765204118,113.307499386274,220.627966745932,406.225788573812,687.844401246025,1886.16871030906
"shock","gaby","Gaby",2026-08-01,941.910422315669,159.689018460879,338.446502485976,578.102727053453,1381.48374985427,2697.96184189174
"shock","gaby","Gaby",2026-09-01,792.974198662303,82.3614670719504,327.768663163289,518.685832795335,971.167655068705,2532.49664966642
"shock","gignod","Gignod",2025-10-01,840.796397769738,163.856054508108,405.929817955746,582.485356085643,1160.05799913046,2175.21883704023
"shock","gignod","Gignod",2025-11-01,2622.25165486297,571.816910609538,1039.54640787029,1656.93979291048,2884.87797401135,7472.98988775545
"shock","gignod","Gignod",2025-12-01,7495.92399542269,1424.45145771504,2864.91642448463,4804.36101628052,7782.75885454167,27061.7742861661
"shock","gignod","Gignod",2026-01-01,3186.55913684669,577.975677498186,1214.531103229,2146.26338202165,3337.73600316235,9280.91105930586
"shock","gignod","Gignod",2026-02-01,2743.49166815652,476.536591768022,1148.94774873519,1695.43239618555,3392.66261500367,7878.54584326172
"shock","gignod","Gignod",2026-03-01,994.035206575333,96.8692346493547,309.730489580725,645.705092713437,1512.40272666403,2504.37025189536
"shock","gignod","Gignod",2026-04-01,502.830994281234,84.428581525936,182.776329926726,328.680657011363,618.548153198476,1506.16105385105
"shock","gignod","Gignod",2026-05-01,366.044785707909,61.1631911102711,105.501065201219,196.195705374322,472.178560727434,868.999697540871
"shock","gignod","Gignod",2026-06-01,366.107498857139,75.7337492936369,164.821786498725,274.786100604248,459.935349240051,907.626207215563
"shock","gignod","Gignod",2026-07-01,629.141250502991,106.327889793157,206.158740606735,391.793294314883,803.524574112482,1845.37946529386
"shock","gignod","Gignod",2026-08-01,1000.47996653386,131.246294268208,279.173073058066,490.760987063759,739.061678613915,3818.56111958686
"shock","gignod","Gignod",2026-09-01,955.897774592949,84.8444558728982,322.755297407877,636.708576408292,1000.85114053163,3100.59722588045
"shock","gressan","Gressan",2025-10-01,1009.24984187927,294.491920370276,547.676916169538,800.256550994964,1316.69391749766,2361.73461749861
