"model","comune_key","comune_nome","n_obs","actual_total","pred_total","mae","rmse","bias","mape","coverage_90","total_rel_error"
"reconciled","chambave","Chambave",9,1334,10371.9339601974,1004.21488446637,1157.70377801564,1004.21488446637,6.46725209231938,0,6.77506293867869
"reconciled","chamois","Chamois",9,3080,3658.33326691822,101.028279128698,120.967340222126,64.2592518798017,4.72576980208965,0.777777777777778,0.187770541207213
"reconciled","champdepraz","Champdepraz",9,2921,4412.42422074208,188.722200034702,235.000271245933,165.713802304676,0.608537575401097,1,0.510586860918206
"reconciled","champorcher","Champorcher",9,5002,4284.90915364282,253.201591622491,353.090863157331,-79.6767607063532,0.478196560729646,1,-0.143360824941459
"reconciled","charvensod","Charvensod",9,19464,18786.1205989764,652.678639008319,742.794033106294,-75.3199334470677,0.313616547586269,1,-0.034827342839273
"reconciled","chatillon","Châtillon",9,25773,40883.8503873064,1879.90385166831,2205.13488556055,1678.98337636738,0.621228778167965,1,0.586305450948917
"reconciled","cogne","Cogne",9,62861,9573.47649299816,5920.83594522243,6744.11506785754,-5920.83594522243,0.834708528076558,0.111111111111111,-0.847704037590904
"reconciled","courmayeur","Courmayeur",9,231129,26849.5502874918,22697.7166347231,28826.4147622608,-22697.7166347231,0.845652050313247,0.111111111111111,-0.883833053024537
"reconciled","donnas","Donnas",9,2348,10178.1213966061,870.013488511792,1027.07419715811,870.013488511792,3.45304425060178,0.222222222222222,3.33480468339273
"reconciled","doues","Doues",9,2301,5627.82489770105,369.647210855672,421.619293472646,369.647210855672,2.28621742770659,0.777777777777778,1.4458169916128
"reconciled","emarese","Emarèse",9,403,6662.31353530528,695.479281700586,821.397622513981,695.479281700586,48.9313810569831,0,15.5317953729659
"reconciled","etroubles","Etroubles",9,13645,5220.57163067938,977.141204227947,1299.71111962844,-936.04759659118,0.554833678568974,0.888888888888889,-0.617400393500962
"reconciled","fenis","Fénis",9,7013,7665.67372867453,266.208345599947,302.988962818993,72.5193031860588,0.44419791761638,1,0.0930662667438371
"reconciled","fontainemore","Fontainemore",9,1900,5660.68581105803,417.853979006448,472.202002525759,417.853979006448,5.95778979309937,0.444444444444444,1.97930832160949
"reconciled","gaby","Gaby",9,5410,9622.13205808029,468.014673120033,495.247998826652,468.014673120033,0.99748609212904,1,0.778582635504675
"reconciled","gignod","Gignod",9,7182,10465.4970668965,381.052300984033,424.469908166521,364.833007432946,0.739673648273178,1,0.457184219840784
"reconciled","gressan","Gressan",9,36832,25533.8066112567,1582.93995157224,2017.55894351824,-1255.35482097148,0.476821875476404,1,-0.306749386097505
"reconciled","gressoney la trinite","Gressoney-La-Trinité",9,60507,14823.5273345801,5134.99486994065,7565.67584083444,-5075.94140726887,0.638025217715596,0.555555555555556,-0.755011365055611
"reconciled","gressoney saint jean","Gressoney-Saint-Jean",9,29157,16068.7363686271,1463.33366788445,1725.5489149785,-1454.25151459699,0.466473981632967,1,-0.448889242081589
"reconciled","hone","Hône",9,1030,11698.7380040897,1185.41533378775,1387.12364124079,1185.41533378775,12.3038117099645,0,10.357998062223
